url,text,length
https://www.google.com/imgres?imgurl=http%3A%2F%2Fveteransalliance.com%2Fwp-content%2Fuploads%2F2015%2F04%2Fhomeless-vet-resize.jpg&imgrefurl=http%3A%2F%2Fveteransalliance.com%2Fnews-round-up-new-york-city-tackles-veteran-homelessness-few-people-lost-job-in-v-a-scandal-tech-industry-commits-to-hiring-90000-vets%2F&docid=IScu9S2IhNOniM&tbnid=KNPzPAJUYPe4TM%3A&w=864&h=572&bih=805&biw=1436&ved=0ahUKEwisg9vVwKnOAhXHvhQKHSo6BP84yAEQMwg1KDMwMw&iact=mrc&uact=8,HOMELESS VETERAN ANYTHING HELPS,4
https://www.google.com/imgres?imgurl=http%3A%2F%2Fthemidtowngazette.com%2Fwp-content%2Fuploads%2F2015%2F09%2FHomeless2.jpg&imgrefurl=http%3A%2F%2Fthemidtowngazette.com%2F2015%2F09%2Fnyc-first-lady-promotes-peer-counseling-for-the-homeless%2F&docid=NFeQq3JXbrO5GM&tbnid=W5wsVDwW0MaaGM%3A&w=559&h=442&bih=805&biw=1436&ved=0ahUKEwjD67DHwanOAhXFchQKHadCDSsQMwhAKBwwHA&iact=mrc&uact=8,WHERES MY HOUSE,3
https://www.google.com/imgres?imgurl=http%3A%2F%2Fthebronxchronicle.com%2Fwp-content%2Fuploads%2F2014%2F11%2Fhomeless-in-winter-in-nyc.jpg&imgrefurl=http%3A%2F%2Fthebronxchronicle.com%2F2014%2F11%2F19%2Fhomeless-new-york-city-place-live%2F&docid=2IFXzKGQR7RoaM&tbnid=8p583mCpQwys5M%3A&w=500&h=353&bih=805&biw=1436&ved=0ahUKEwjD67DHwanOAhXFchQKHadCDSsQMwhIKCQwJA&iact=mrc&uact=8,ANYTHING HELPS HAPPY NEW YEARS GOD BLESS,7
https://www.google.com/imgres?imgurl=http%3A%2F%2Fstatic.lakana.com%2Fmedia.fox5ny.com%2Fphoto%2F2015%2F08%2F31%2FHomelessness_plan_0_141740_ver1.0.jpg&imgrefurl=http%3A%2F%2Fwww.fox5ny.com%2Fnews%2F14557045-story&docid=KRQHG8KOXNWxVM&tbnid=pxsyDkzxofh5HM%3A&w=1280&h=720&bih=805&biw=1436&ved=0ahUKEwjD67DHwanOAhXFchQKHadCDSsQMwiAAShcMFw&iact=mrc&uact=8,HOMELESS VERY DEPERESSED NO FAMILY ALL ALONE GOD BLESS,9
https://www.google.com/imgres?imgurl=http%3A%2F%2Fstatic.fjcdn.com%2Fpictures%2FDrunk_73fbb2_280402.jpg&imgrefurl=http%3A%2F%2Fwww.funnyjunk.com%2Ffunny_pictures%2F188993%2FDrunk%2F&docid=5H0wjK6MdZIO7M&tbnid=loEOvVwF3fcYzM%3A&w=451&h=586&bih=805&biw=1436&ved=0ahUKEwjlpNWcwqnOAhVNsBQKHc_ZDZ049AMQMwhKKEgwSA&iact=mrc&uact=8,NEED MONEY TO GET DRUNK SO THAT 2 WOMEN CAN TAKE ME HOME AND MOLEST ME! DONATIONS ACCEPTED,18
https://www.google.com/imgres?imgurl=http%3A%2F%2Fsovereignny.org%2Fwp-content%2Fuploads%2F2015%2F11%2FBW_08-Copy.jpg&imgrefurl=http%3A%2F%2Fsovereignny.org%2F2015%2F11%2F23%2Fmayor-de-blasio-blasted-on-homelessness-but-what-about-americas-military-veterans%2F&docid=H0zEZr1UdIgT9M&tbnid=yqYWjm_fmJAqZM%3A&w=1024&h=1280&bih=805&biw=1436&ved=0ahUKEwiVl5fowKnOAhWEcRQKHW3-Ckc4rAIQMwg3KDUwNQ&iact=mrc&uact=8,"HOMELESS VIETNAM VET AIR-CAV IF ABLE, PLEASE LEND A HAND. BRING OUR PEOPLE HOME (A.S.A.P) (WAR'S HELL.) COME JESUS, COME. MICHAEL MURPHY DISCHARGED 1972 (MEDICALLY) MOS BRAVO DOOT GUNNER SLICK'S/HUEY'S",30
https://www.google.com/imgres?imgurl=http%3A%2F%2Fmedia1.fdncms.com%2Fboiseweekly%2Fimager%2Fu%2Foriginal%2F3809557%2Fnews1_homelesssign.jpg&imgrefurl=http%3A%2F%2Fwww.boiseweekly.com%2Fboise%2Fnew-york-times-feds-to-steer-assistance-away-from-cities-that-criminalize-homelessness%2FContent%3Foid%3D3809553&docid=N7OHV_XCJoZioM&tbnid=s7R5pLuE6BKYhM%3A&w=600&h=347&bih=805&biw=1436&ved=0ahUKEwillvKVwanOAhXKbhQKHSrQD_w49AMQMwgNKAswCw&iact=mrc&uact=8,LET'S TRY SOMETHING DIFFERENT,4
https://www.google.com/imgres?imgurl=http%3A%2F%2Fmedia.nbcnewyork.com%2Fimages%2F652*489%2Fhomeless%2Bman%2Bsnapshot.jpg&imgrefurl=http%3A%2F%2Fwww.nbcnewyork.com%2Fnews%2Flocal%2FHomeless-Man-I-Had-an-Affair-With-Tiger-Woods-79049512.html&docid=eIqcoo6j4G6L5M&tbnid=39sutlSbtZQRYM%3A&w=652&h=489&bih=805&biw=1436&ved=0ahUKEwj6v4eIwanOAhUEPxQKHaJUAjg4kAMQMwgNKAswCw&iact=mrc&uact=8,I HAD AN AFFAIR WITH TIGER WOODS NOW LOOK WHERE I'M AT,12
https://www.google.com/imgres?imgurl=http%3A%2F%2Flibertyblitzkrieg.com%2Fwp-content%2Fuploads%2F2015%2F02%2FScreen-Shot-2015-02-02-at-11.20.14-AM-300x221.jpg&imgrefurl=http%3A%2F%2Flibertyblitzkrieg.com%2F2015%2F02%2F02%2Fthe-face-of-the-oligarch-recovery-luxury-skyscrapers-stay-empty-as-nyc-homeless-population-hits-record-high%2F&docid=hs4zVyUcirkbPM&tbnid=3fGOnm5IgF-8eM%3A&w=300&h=221&bih=805&biw=1436&ved=0ahUKEwijloSxwKnOAhXHNxQKHYosDB84ZBAzCEwoSjBK&iact=mrc&uact=8,I USED TO BE YOUR NEIGHBOR,6
https://www.google.com/imgres?imgurl=http%3A%2F%2Fimjustacop.com%2Fwp-content%2Fuploads%2F2015%2F11%2FhomelessNYC.jpg&imgrefurl=http%3A%2F%2Fimjustacop.com%2Fopinion%2Fcommissioner-bratton-on-homeless-stop-giving-them-money%2F&docid=uFsYuFROU6emCM&tbnid=QsNoo4N2gpYqgM%3A&w=450&h=303&bih=805&biw=1436&ved=0ahUKEwjD67DHwanOAhXFchQKHadCDSsQMwg6KBYwFg&iact=mrc&uact=8,HOMELESS AND HUNGRY PLEASE HELP THANK YOU,7
